,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,성별,출생년도,혼인상테,종교,월급,직종,지역,나이,연령별,연령대
14264,14264,14264,14264,14264,여성,1943.0,2.0,1.0,,,4.0,79.0,노년,70대
14265,14265,14265,14265,14265,여성,1939.0,2.0,1.0,,,4.0,83.0,노년,80대
14266,14266,14266,14266,14266,여성,1942.0,2.0,1.0,,,4.0,80.0,노년,80대
14267,14267,14267,14267,14267,남성,1937.0,1.0,2.0,,,4.0,85.0,노년,80대
14268,14268,14268,14268,14268,여성,1940.0,1.0,2.0,,,4.0,82.0,노년,80대
14269,14269,14269,14269,14269,남성,1951.0,1.0,2.0,,,4.0,71.0,노년,70대
14270,14270,14270,14270,14270,여성,1952.0,1.0,1.0,,,4.0,70.0,노년,70대
14271,14271,14271,14271,14271,여성,1943.0,2.0,1.0,,,4.0,79.0,노년,70대
14272,14272,14272,14272,14272,남성,1974.0,5.0,2.0,,,4.0,48.0,중년,40대
14273,14273,14273,14273,14273,남성,1942.0,1.0,1.0,,,4.0,80.0,노년,80대
14274,14274,14274,14274,14274,여성,1948.0,1.0,1.0,,,4.0,74.0,노년,70대
14275,14275,14275,14275,14275,여성,1972.0,5.0,1.0,200.0,285.0,4.0,50.0,중년,50대
14276,14276,14276,14276,14276,남성,1956.0,1.0,1.0,,910.0,4.0,66.0,노년,60대
14277,14277,14277,14277,14277,여성,1961.0,1.0,1.0,180.0,429.0,4.0,61.0,노년,60대
14278,14278,14278,14278,14278,남성,1973.0,1.0,2.0,,873.0,4.0,49.0,중년,40대
14279,14279,14279,14279,14279,여성,1973.0,1.0,2.0,189.0,392.0,4.0,49.0,중년,40대
14280,14280,14280,14280,14280,여성,2001.0,5.0,2.0,194.0,521.0,4.0,21.0,청년,20대
14281,14281,14281,14281,14281,여성,1945.0,2.0,2.0,27.0,421.0,4.0,77.0,노년,70대
14282,14282,14282,14282,14282,남성,1955.0,1.0,1.0,,873.0,4.0,67.0,노년,60대
14283,14283,14283,14283,14283,여성,1956.0,1.0,1.0,,,4.0,66.0,노년,60대
14284,14284,14284,14284,14284,남성,1972.0,5.0,2.0,,782.0,4.0,50.0,중년,50대
14285,14285,14285,14285,14285,여성,1941.0,2.0,1.0,,,4.0,81.0,노년,80대
14286,14286,14286,14286,14286,남성,1972.0,1.0,1.0,750.0,223.0,4.0,50.0,중년,50대
14287,14287,14287,14287,14287,여성,1975.0,1.0,1.0,,,4.0,47.0,중년,40대
14288,14288,14288,14288,14288,여성,2003.0,5.0,1.0,,,4.0,19.0,청년,NaN
14289,14289,14289,14289,14289,남성,2006.0,0.0,1.0,,,4.0,16.0,청년,NaN
14290,14290,14290,14290,14290,남성,2006.0,0.0,1.0,,,4.0,16.0,청년,NaN
14291,14291,14291,14291,14291,남성,1955.0,1.0,2.0,190.0,942.0,4.0,67.0,노년,60대
14292,14292,14292,14292,14292,여성,1955.0,1.0,2.0,,,4.0,67.0,노년,60대
14293,14293,14293,14293,14293,남성,1984.0,5.0,2.0,,,4.0,38.0,중년,30대
14294,14294,14294,14294,14294,여성,1957.0,2.0,1.0,,,4.0,65.0,노년,60대
14295,14295,14295,14295,14295,남성,1936.0,1.0,2.0,,,4.0,86.0,노년,80대
14296,14296,14296,14296,14296,여성,1947.0,1.0,2.0,,,4.0,75.0,노년,70대
14297,14297,14297,14297,14297,여성,1944.0,2.0,2.0,,,4.0,78.0,노년,70대
14298,14298,14298,14298,14298,여성,1938.0,3.0,2.0,,,4.0,84.0,노년,80대
14299,14299,14299,14299,14299,남성,1964.0,3.0,2.0,195.0,952.0,4.0,58.0,중년,50대
14300,14300,14300,14300,14300,여성,1971.0,5.0,2.0,,141.0,4.0,51.0,중년,50대
14301,14301,14301,14301,14301,남성,1985.0,5.0,2.0,312.0,311.0,4.0,37.0,중년,30대
14302,14302,14302,14302,14302,여성,1946.0,2.0,2.0,27.0,999.0,4.0,76.0,노년,70대
14303,14303,14303,14303,14303,남성,1956.0,1.0,1.0,,782.0,4.0,66.0,노년,60대
14304,14304,14304,14304,14304,여성,1957.0,1.0,1.0,,,4.0,65.0,노년,60대
14305,14305,14305,14305,14305,여성,1949.0,2.0,1.0,,,4.0,73.0,노년,70대
14306,14306,14306,14306,14306,남성,1982.0,5.0,1.0,,,4.0,40.0,중년,40대
14307,14307,14307,14307,14307,남성,1956.0,5.0,2.0,,,4.0,66.0,노년,60대
14308,14308,14308,14308,14308,남성,1968.0,1.0,1.0,,,4.0,54.0,중년,50대
14309,14309,14309,14309,14309,여성,1974.0,1.0,1.0,,,4.0,48.0,중년,40대
14310,14310,14310,14310,14310,여성,2003.0,5.0,1.0,,,4.0,19.0,청년,NaN
14311,14311,14311,14311,14311,남성,1939.0,1.0,1.0,,,4.0,83.0,노년,80대
14312,14312,14312,14312,14312,여성,1941.0,1.0,1.0,,,4.0,81.0,노년,80대
